#,Arrival Time,Service Start,Service End,Drop Time,# Items,Card,Wait Time,Service Time
1,3:35:57,3:45:15,3:45:48,0,5,1,09:18,00:33
2,3:36:37,3:46:25,3:48:13,0,15,0,09:48,01:48
3,3:37:59,3:48:28,3:49:21,0,14,1,10:29,00:53
4,3:38:44,3:50:55,3:51:55,0,5,0,12:11,01:00
5,3:39:35,3:49:39,3:50:51,0,11,0,10:04,01:12
6,3:40:34,0,0,3:42:30,0,0,01:56,0
7,3:42:43,3:51:55,3:52:18,0,5,0,09:12,00:23
8,3:44:15,3:45:59,3:46:36,0,1,0,01:44,00:37
9,3:44:36,3:52:40,3:53:45,0,21,1,08:04,01:05
10,3:46:45,3:54:13,3:55:04,0,11,1,07:28,00:51
11,3:47:10,3:55:26,3:55:38,0,5,1,08:16,00:12
12,3:48:07,3:55:50,3:56:15,0,2,1,07:43,00:25
13,3:48:30,3:56:53,3:57:10,0,4,0,08:23,00:17
14,3:49:21,3:57:13,3:58:01,0,4,0,07:52,00:48
15,3:49:57,3:58:10,3:58:26,0,5,0,08:13,00:16
16,3:52:31,3:58:43,3:59:07,0,7,1,06:12,00:24
17,3:53:35,3:59:14,3:59:40,0,4,0,05:39,00:26
18,3:54:25,3:59:59,4:01:24,0,11,1,05:34,01:25
19,3:54:40,4:01:46,4:02:20,0,3,0,07:06,00:34
20,3:56:31,3:57:05,3:57:21,0,1,0,00:34,00:16
21,3:56:36,4:02:42,4:03:55,0,13,0,06:06,01:13
22,3:57:35,4:04:49,4:05:27,0,7,0,07:14,00:38
23,3:57:46,4:05:20,4:06:15,0,3,0,07:34,00:55
24,3:58:10,0,0,4:09:16,0,0,11:06,0
25,3:59:03,4:05:30,4:05:57,0,7,0,06:27,00:27
26,3:59:35,0,0,4:00:15,0,0,00:40,0
27,4:00:38,4:06:03,4:06:31,0,3,0,05:25,00:28
28,4:01:20,4:06:51,4:07:19,0,7,1,05:31,00:28
29,4:02:49,4:07:41,4:08:54,0,11,1,04:52,01:13
30,4:08:42,4:09:16,4:09:43,0,6,0,00:34,00:27